,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,properties.city_1,properties.oldcity_1,properties.street_1,properties.postalcode_1,properties.number_1,properties.inseecode_1,properties.housenumberinfos_1,properties._score_1,properties._type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.housenumberinfos.date_1,properties.housenumberinfos.source_1,properties.housenumberinfos.kind_1,properties.housenumberinfos.otherpositions_1
20,22,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,brony,,,,,,fab,,,rue,du,pot de fer saint sulpice,14,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.33262134108801,48.8504962431131,14  rue du pot de fer saint sulpice,Feature,Paris 5e Arrondissement,[],rue du pot de fer,75005,14,"['75105', '75']",,0.6464646464646464,address,Point,2.348748,48.843012,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.34874', '48.843105']}}]"
21,1467,dentelles et blondes (marchands de),1815,,B1815,,,flamant devergie,,,,,,et toiles,,,rue,,quincampoix,41,,,,,lombards,6.0,,,,precise_geocoding,jacoubet_paris,1,2.3507564381618797,48.86178383869821,41  rue  quincampoix,Feature,Paris 4e Arrondissement,[],rue quincampoix,75004,41,"['75104', '75']",,1.0,address,Point,2.350397,48.860903,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.350289', '48.860942']}}]"
22,1468,dentelles et blondes (marchands de),1815,,B1815,,,lorain,,,,,,,,,rue,,quincampoix,37,,,,,lombards,6.0,,,,precise_geocoding,jacoubet_paris,1,2.3506923628387297,48.8616711868521,37  rue  quincampoix,Feature,Paris 4e Arrondissement,[],rue quincampoix,75004,37,"['75104', '75']",,1.0,address,Point,2.350326,48.86081,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.350201', '48.860877']}}]"
23,23,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"bruzat, mad",,,,,,march de cachemires,,,rue,,chabannais,22,,,,,,,,,,precise_geocoding,jacoubet,1,2.3364121165993397,48.867857092356005,22  rue  chabannais,Feature,Paris 2e Arrondissement,[],rue chabanais,75002,,"['75102', '75']",,0.8086124401913874,address,Point,2.336702,48.866957,,,,
24,24,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,canet & co,,,,,,fab,,,rue,,neuve saint eustache,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34586474139404,48.8674806904146,23  rue  neuve saint eustache,Feature,Paris 4e Arrondissement,[],rue neuve saint-pierre,75004,23,"['75104', '75']",,0.6363636363636362,address,Point,2.362343,48.854043,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.362371', '48.854027']}}]"
25,25,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"channebot, p",,,,,,fabr,,,rue,,neuve saint eustache,8,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34465041377023,48.86699325172171,8  rue  neuve saint eustache,Feature,Paris 1er Arrondissement,[],porte saint eustache,75001,8,"['75101', '75']",,0.6143250688705234,address,Point,2.345748,48.862829,2019-11-05,ign,entrance,
26,26,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,charpentier,,,,,,marchand,,,rue,,neuve des petits champs,64,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3320073069801603,48.8679275648846,64  rue  neuve des petits champs,Feature,Paris 11e Arrondissement,[],rue neuve des boulets,75011,,"['75111', '75']",,0.5331695331695331,address,Point,2.390223,48.854281,,,,
27,27,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,colin frères,,,,,,fab cachemires français,,,rue,des,deux portes saint sauveur,29,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34902514994377,48.866504497268295,29  rue des deux portes saint sauveur,Feature,Paris 20e Arrondissement,[],passage des 2 portes,75020,,"['75120', '75']",,0.3939393939393939,address,Point,2.4051394809628,48.8591783126194,,,,
28,28,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"corbie, ch-aug",,,,,,"march de cachemires, étoffes de soie, broderies, manteaux de cour et nouveautés",,,rue,,richelieu,10,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3361432553892003,48.8642143599345,10  rue  richelieu,Feature,Paris 1er Arrondissement,[],rue de richelieu,75001,10,"['75101', '75']",,0.87012987012987,address,Point,2.336169,48.864201,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.336278', '48.864181']}}]"
29,29,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,cornedecerf renouard,,,,,,fabr façon cachemire,,,rue,,bourbon villeneuve,57,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35129247855132,48.86912728114,57  rue  bourbon villeneuve,Feature,Paris 6e Arrondissement,[],rue de bourbon le chateau,75006,,"['75106', '75']",,0.4405594405594406,address,Point,2.336137,48.853866,,,,
